"","ids","name","followers","tracks","date","collab","description","owner","public"
"21","37i9dQZF1DX76t638V6CA8","Rap Workout",1411936,59,2021-05-03,FALSE,"Big rap for big reps. You got this.","spotify",FALSE
"22","37i9dQZF1DX6OgmB2fwLGd","Internet People",912349,108,2021-05-03,FALSE,"the internet's playlist—featuring old and new hits by the one and only Soulja Boy","spotify",TRUE
"23","37i9dQZF1DX6xZZEgC9Ubl","tear drop",899515,150,2021-05-03,FALSE,"Emo feels for the misunderstood. Featuring new music by 44phantom.","spotify",TRUE
"24","37i9dQZF1DX9sQDbOMReFI","I Love My West Coast Classics",326870,50,2021-05-03,FALSE,"The best side! Cover: 2Pac","spotify",FALSE
"25","37i9dQZF1DXaxIqwkEGFEh","Out The Mud",924501,100,2021-05-03,FALSE,"Strictly for the streets. Cover: Young Dolph & Key Glock","spotify",TRUE
"26","37i9dQZF1DWUFmyho2wkQU","Hip-Hop Drive",631368,150,2021-05-03,FALSE,"Drive slow homie.","spotify",FALSE
"27","37i9dQZF1DWTJzNR1J5ygQ","I Love My Midwest Classics",65234,50,2021-05-03,FALSE,"It's a Midwest thing. Cover: Kanye West","spotify",FALSE
"28","37i9dQZF1DWVA1Gq4XHa6U","Gold School",2325453,50,2021-05-03,FALSE,"Taking it back. Cover: DMX. ","spotify",TRUE
"29","37i9dQZF1DX0HRj9P7NxeE","Workout Twerkout",1699982,50,2021-05-03,FALSE,"Get your body right with this workout twerkout","spotify",TRUE
"30","37i9dQZF1DWSUur0QPPsOn","Taste",80560,50,2021-05-03,FALSE,"Sophisticated palates only. Curated by: Funny Marco","spotify",FALSE
"31","37i9dQZF1DWYok9l1JL7GM","I Love My Down South Classics",155965,50,2021-05-03,FALSE,"The south got something to say. Cover: TI","spotify",FALSE
"32","37i9dQZF1DX4SrOBCjlfVi","New Joints",52173,50,2021-05-03,FALSE,"New joints of the week featuring Gucci Mane, Lil Baby, Baby Keem featuring Travis Scott, and many more. Updated every Friday. Cover: Baby Keem & Travis Scott

","spotify",FALSE
"33","37i9dQZF1DXaitacWUJMPH","2 . 24",256937,24,2021-05-03,FALSE,"24 songs dedicated to the Mamba & Mambacita. R.I.P. Kobe & Gianna Bryant.","spotify",FALSE
"34","37i9dQZF1DWYGxBNe4qojI","I Love My East Coast Classics",111852,50,2021-05-03,FALSE,"Where it all started. Cover: Fugees","spotify",FALSE
"35","37i9dQZF1DWX3387IZmjNa","B.A.E.",1826317,50,2021-05-03,FALSE,"Hip-Hop + R&B: Before. Anything. Else. Cover: Toosii
","spotify",TRUE
"36","37i9dQZF1DWTplaZ1W7ARf","Street Soul",15054,50,2021-05-03,FALSE,"Neighborhood Storytellers. Cover: Morray","spotify",FALSE
"37","37i9dQZF1DWT6MhXz0jw61","Mellow Bars",932881,103,2021-05-03,FALSE,"Chillout hip-hop vibes. Cover: Kota The Friend
","spotify",FALSE
"38","37i9dQZF1DX2A29LI7xHn1","Signed XOXO",1835459,100,2021-05-03,FALSE,"Crossing over like Allen I. Cover: Yung Baby Tate","spotify",TRUE
"39","37i9dQZF1DWSTeI2WWFaia","Spilled Ink",496662,50,2021-05-03,FALSE,"Lyrical, lo-fi, and lowlife raps. Cover: Black Thought","spotify",TRUE
"40","37i9dQZF1DX9iGsUcr0Bpa","Door Knockers",57173,50,2021-05-03,FALSE,"Classics from trailblazing women in hip-hop.","spotify",FALSE
"41","37i9dQZF1DWTggY0yqBxES","Alternative Hip Hop",705306,50,2021-05-03,FALSE,"New, leftfield and for the real hip-hop stans! Cover: BROCKHAMPTON","spotify",TRUE
"42","37i9dQZF1DX1YPTAhwehsC","State of Mind",367510,50,2021-05-03,FALSE,"Up and down I-95. Cover: 22Gz
","spotify",TRUE
"43","37i9dQZF1DXdUAMxTn0rVu","I Love My Underground Classics",138452,50,2021-05-03,FALSE,"Essential songs from the late '90s, early 2000s underground hip-hop scene. Cover: Little Brother","spotify",FALSE
"44","37i9dQZF1DX5hR0J49CmXC","Mind Right",1030581,50,2021-05-03,FALSE,"The Real hip-hop. Cover: The Alchemist","spotify",TRUE
"45","37i9dQZF1DXd6QWbEewZmM","Sad Cuh Hours",9893,120,2021-05-03,FALSE,"For the Sad Cuhs and anyone in their feelings.","spotify",FALSE
"46","37i9dQZF1DWSvKsRPPnv5o","Westside Story",653256,50,2021-05-03,FALSE,"Holdin' it down for the westside. Cover: AG Club","spotify",TRUE
"47","37i9dQZF1DWWIfrT204w7E","City to City",60332,50,2021-05-03,FALSE,"Drill scenes connect. Cover: 22Gz","spotify",FALSE
"48","37i9dQZF1DXbH5bzpmFWXy","El Barrio MP3",15348,50,2021-05-03,FALSE,"Dos estilos, dos sonidos, un mismo origen: El Barrio. En portada: Justin Morales","spotify",FALSE
"49","37i9dQZF1DX2XmsXL2WBQd","I Love My '80s Hip-Hop",256828,70,2021-05-03,FALSE,"Anthems from the early days of recorded rap music.","spotify",FALSE
"50","37i9dQZF1DX91gZ5XTbTPm","CST",54208,50,2021-05-03,FALSE,"The Midwest is always on time. Cover: Polo G

","spotify",FALSE
"51","37i9dQZF1DX1aTyQ3Z9nTc","Choice Edit",58145,75,2021-05-03,FALSE,"The intersection of hip-hop, electronic, dance and R&B. Cover: Emotional Oranges","spotify",FALSE
"52","37i9dQZF1DX3KoYiZJ8DD4","Sample School",129548,24,2021-05-03,FALSE,"Celebrating the music of Aretha Franklin with the songs she inspired.","spotify",FALSE
"53","37i9dQZF1DWW4igXXl2Qkp","Fresh Finds: Hip Hop",133275,54,2021-05-03,FALSE,"Fresh hip hop music by independent artists and labels. Updated every Wednesday Cover: Paris Texas, Artwork: Alfie Kungu","spotify",TRUE
"54","37i9dQZF1DWWAqc46ZJdZf","Black Lives Matter",723714,60,2021-05-03,FALSE,"Songs of empowerment and pride. Photography: <a href=""https://www.instagram.com/waheedpix/"">Adreinne Waheed</a>","spotify",TRUE
"55","37i9dQZF1DX59ogDi1Z2XL","Northern Bars",130788,98,2021-05-03,FALSE,"The sounds of hip-hop coming out of Canada. Cover: Pressa, Coi Leray","spotify",FALSE
"56","37i9dQZF1DX1ct2TQrAvRf","RAP 91",107463,75,2021-05-03,FALSE,"Hits by Prabh Deep, Sikander Kahlon, and Hip Hop Tamhiza. Cover- DIVINE","spotify",FALSE
"57","37i9dQZF1DX0kbJZpiYdZl","Hot Hits USA",123411,50,2021-05-03,FALSE,"The hottest tracks in the United States. Cover: Doja Cat & SZA","spotify",FALSE
"58","37i9dQZF1DWUa8ZRTfalHk","Pop Rising",2100410,85,2021-05-03,FALSE,"The hits of tomorrow are on Spotify today. Cover: Machine Gun Kelly","spotify",TRUE
"59","37i9dQZF1DX2L0iB23Enbq","Viral Hits",1645935,104,2021-05-03,FALSE,"Viral, trending and taking off.","spotify",TRUE
"60","37i9dQZF1DXcRXFNfZr7Tp","just hits",1941271,101,2021-05-03,FALSE,"Current favorites and exciting new music. Cover: Regard, Troye Sivan, Tate McRae","spotify",TRUE
"61","37i9dQZF1DWWvvyNmW9V9a","Teen Beats",584933,106,2021-05-03,FALSE,"No cap, we love to hear it. Cover: LILHUDDY","spotify",FALSE
"62","37i9dQZF1DXbYM3nMM0oPk","Mega Hit Mix",5238625,75,2021-05-03,FALSE,"A mega mix of 75 of your favorite songs from the last few years! Cover: Dua Lipa","spotify",TRUE
"63","37i9dQZF1DX0b1hHYQtJjp","Just Good Music",633570,77,2021-05-03,FALSE,"Ease into these recent hits and new songs from your favorite artists.  Cover: Forest Blakk","spotify",FALSE
"64","37i9dQZF1DWTwnEm1IYyoj","Soft Pop Hits",5075716,241,2021-05-03,FALSE,"Listen to easy songs from your favorite artists! Cover: Adele","spotify",TRUE
"65","37i9dQZF1DXa2PvUpywmrr","Party Hits",129863,75,2021-05-03,FALSE,"A mix of the biggest pop, dance, and hip hop hits. ","spotify",FALSE
"66","37i9dQZF1DX0s5kDXi1oC5","Hit Rewind",5268283,75,2021-05-03,FALSE,"Listen to all the tracks you've been missing. Cover: The Weeknd","spotify",TRUE
"67","37i9dQZF1DX5gQonLbZD9s","Pumped Pop",1158801,60,2021-05-03,FALSE,"Throw the weights around with your favorite uptempo pop songs!","spotify",FALSE
"68","37i9dQZF1DX66m4icL86Ru","BBE",73810,86,2021-05-03,FALSE,"Bad b**** energy. Be blessed, be spicy. Cover: Yung Baby Tate ","spotify",FALSE
"69","37i9dQZF1DWYs83FtTMQFw","Hot Rhythmic",1983009,84,2021-05-03,FALSE,"The hottest tracks of today are here...featuring Polo G, Drake, and Doja Cat.","spotify",TRUE
"70","37i9dQZF1DXaPCIWxzZwR1","Pop Sauce",780132,109,2021-05-03,FALSE,"next gen pop featuring The Kid LAROI, Miley Cyrus","spotify",FALSE
"71","37i9dQZF1DWZQaaqNMbbXa","Dance Pop Hits",186082,150,2021-05-03,FALSE,"Hit the dance floor with your favorite bops!","spotify",FALSE
"72","37i9dQZF1DXcxvFzl58uP7","Bedroom Pop",784511,115,2021-05-03,FALSE,"Dreamy jams from the best bedroom producers. Cover: Verzache","spotify",FALSE
"73","37i9dQZF1DWWEcRhUVtL8n","Indie Pop",1477263,125,2021-05-03,FALSE,"New and approved indie pop. Cover: Beach Bunny","spotify",TRUE
"74","37i9dQZF1DX3WvGXE8FqYX","Women of Pop",2114220,70,2021-05-03,FALSE,"Kick back with the queens of pop.","spotify",TRUE
"75","37i9dQZF1DX9vJ2U3sN7xj","Fiesta",911694,104,2021-05-03,FALSE,"Party Mode: ON!
Cover: Piso 21","spotify",FALSE
"76","37i9dQZF1DX4pUKG1kS0Ac","Guilty Pleasures",2965991,151,2021-05-03,FALSE,"Embrace your secret favorites.","spotify",TRUE
"77","37i9dQZF1DWXti3N4Wp5xy","Pop Party",216003,100,2021-05-03,FALSE,"All the jams to get the party going!","spotify",FALSE
"78","37i9dQZF1DX4mWCZw6qYIw","songs to scream in the car",175884,60,2021-05-03,FALSE,"the mood is to scream into your dashboard/choke back tears in the parking lot","spotify",FALSE
"79","37i9dQZF1DXdwmD5Q7Gxah","Lorem",839669,173,2021-05-03,FALSE,"it's girl in red dayyyyyyy ","spotify",TRUE
"80","37i9dQZF1DX0MLFaUdXnjA","Chill Pop",493969,120,2021-05-03,FALSE,"Keep it low-key with all of today's chill pop. Cover: Alec Benjamin","spotify",TRUE
"81","37i9dQZF1DWSPMbB1kcXmo","internet rewind",240583,80,2021-05-03,FALSE,"Viral classics. Yep, we're at that stage.","spotify",FALSE
"82","37i9dQZF1DX6tPTxr8qwRe","SALT",129784,132,2021-05-03,FALSE,"Extra vicious, hard-hitting pop.  This is SALT.  Cover: WILLOW","spotify",FALSE
"83","37i9dQZF1DX2lVtkHKv2NU","internet crush",73875,60,2021-05-03,FALSE,"me gustas mucho. <3 I've got a crush on you.","spotify",FALSE
"84","37i9dQZF1DXbIGqYf7WDxP","Pop Chillout",1275062,101,2021-05-03,FALSE,"The best music for just chilling.","spotify",TRUE
"85","37i9dQZF1DX4VvfRBFClxm","Acoustic Hits",1383485,100,2021-05-03,FALSE,"A mix of folksy hits, soulful acoustic, and beloved singer-songwriter gems.","spotify",TRUE
"86","37i9dQZF1DXdWMJMjqz9bm","Varsity Bars",111308,100,2021-05-03,FALSE,"1 part pop, 1 part rap, 1 part indie. Featuring music by Arden Jones.","spotify",FALSE
"87","37i9dQZF1DWXqzQh2VQNvW","Vibes Right Now",67946,93,2021-05-03,FALSE,"The latest and greatest music out now!","spotify",FALSE
"88","37i9dQZF1DX7HOk71GPfSw","hyperpop",195886,125,2021-05-03,FALSE,"spotify hyperpop playlist summer 2021. cover: underscores","spotify",FALSE
"89","37i9dQZF1DWWxrt1tiKYiX","Unplugged",39492,114,2021-05-03,FALSE,"Stripped-down versions of all your favorite pop hits. Cover: Justin Bieber","spotify",FALSE
"90","37i9dQZF1DX4oUPBOaEkL6","Éxitos USA",1699858,50,2021-05-03,FALSE,"The hottest Latin hits in the US! Cover: Kali Uchis","spotify",FALSE
"91","37i9dQZF1DX5Vy6DFOcx00","big on the internet",42061,95,2021-05-03,FALSE,"iykyk","spotify",FALSE
"92","37i9dQZF1DX5CdVP4rz81C","Fresh & Chill",1048949,106,2021-05-03,FALSE,"Discover your favorite new chill pop songs. Cover: Alec Benjamin","spotify",TRUE
"93","37i9dQZF1DWWqNV5cS50j6","Anti Pop",588600,149,2021-05-03,FALSE,"ur one stop shop, baby. featuring new music by AG Club","spotify",TRUE
"94","37i9dQZF1DWZUAeYvs88zc","Sad Bops",358859,80,2021-05-03,FALSE,"For all of us dancing on our own.","spotify",FALSE
"95","37i9dQZF1DXcTieYAg7jq1","Retro Pop",317009,148,2021-05-03,FALSE,"Featuring that new vintage. Cover: Jon Batiste","spotify",TRUE
"96","37i9dQZF1DWYkaDif7Ztbp","African Heat",741427,50,2021-05-03,FALSE,"Real African vibes, right here. Africa to the world! Cover: <a href=""https://open.spotify.com/artist/1zO1FWFxxNUCqUuGATxZQZ?si=IBeQsu7mRXimWhmr-9KjnQ"">Gyakie</a> ","spotify",TRUE
"97","37i9dQZF1DWWOGXILUAh53","Fresh Dance Pop",47858,112,2021-05-03,FALSE,"The hottest new pop with the all the drops. Cover: Tungevaag","spotify",TRUE
"98","37i9dQZF1DX5PcuIKocvtW","PopRox",87489,100,2021-05-03,FALSE,"Rock Out With Your Pop Out / LILHUDDY","spotify",FALSE
"99","37i9dQZF1DWYWvT3ntvdRD","Addison & Sheri's Mixtape",95419,41,2021-05-03,FALSE,"All of Addison Rae and her mama Sheri Nicole's current faves.","spotify",FALSE
"100","37i9dQZF1DWWjGdmeTyeJ6","Fresh Finds",751662,76,2021-05-03,FALSE,"The best new music from independent artists and labels. Updates every Wednesday.  Cover: Sans Soucis, Artwork: Isu Kim","spotify",TRUE
"101","37i9dQZF1DWViBxWcYEI1b","Contemporary Blend",321594,89,2021-05-03,FALSE,"For those with a taste for both the new and the classic. Cover: Julia Michaels","spotify",TRUE
"102","37i9dQZF1DX3LyU0mhfqgP","Out Now",688627,55,2021-05-03,FALSE,"The hottest music from artists unlike any other with guest curation by Ashnikko.","spotify",TRUE
"103","37i9dQZF1DX0bUGQdz5BJG","Next From Nashville",102477,118,2021-05-03,FALSE,"Music City must-hears. Cover: Priscilla Block","spotify",FALSE
"104","37i9dQZF1DXcSzYlwgjiSi","Party Cove",120063,83,2021-05-03,FALSE,"The perfect soundtrack for a day on the water.","spotify",FALSE
"105","37i9dQZF1DX8S0uQvJ4gaa","New Boots",742251,82,2021-05-03,FALSE,"New Music Discovery is what we're about.  Try it on for size. Cover: Jordan Davis","spotify",TRUE
"106","37i9dQZF1DWTkxQvqMy4WW","Chillin' on a Dirt Road",2619342,80,2021-05-03,FALSE,"Country music to get you back to the basics.","spotify",TRUE
"107","37i9dQZF1DWVpjAJGB70vU","90's Country",926870,60,2021-05-03,FALSE,"Country that made Country Cool! Cover:  Shania Twain","spotify",TRUE
"108","37i9dQZF1DXdxUH6sNtcDe","2000s Country",266802,153,2021-05-03,FALSE,"A decade full of 00s country hits! Cover: Keith Urban, Carrie Underwood, Kenny Chesney","spotify",FALSE
"109","37i9dQZF1DXbIbVYph0Zr5","Country Cookout",252461,93,2021-05-03,FALSE,"The perfect soundtrack recipe for a backyard barbecue!","spotify",FALSE
"110","37i9dQZF1DWYnwbYQ5HnZU","Country Gold",1624827,64,2021-05-03,FALSE,"Spotify Fan Favorites from the last few years.  Artist: Lauren Alaina","spotify",TRUE
"111","37i9dQZF1DWXdiK4WAVRUW","2010s Country",117534,179,2021-05-03,FALSE,"The most memorable country hits from the 2010's. Cover: Luke Bryan, Miranda Lambert and Jason Aldean.","spotify",FALSE
"112","37i9dQZF1DX7aUUBCKwo4Y","Nashville's Worldwide Hot 50",420563,50,2021-05-03,FALSE,"Nashville's Top 50 most played songs—in the world. Updated weekly.","spotify",FALSE
"113","37i9dQZF1DXaJXCbmtHVHV","Big Country",235124,50,2021-05-03,FALSE,"The top country hits of the week across America! Cover: Jake Owen","spotify",FALSE
"114","37i9dQZF1DX13kFuGnInkY","ACM Awards 2021",75547,102,2021-05-03,FALSE,"A complete playlist of all the winners & nominees. Tune in to the ACM Awards LIVE on CBS & Paramount + on April 18th 8/7c!","spotify",FALSE
"115","37i9dQZF1DX8WMG8VPSOJC","Country Kind of Love",1415948,75,2021-05-03,FALSE,"Nothing but beautiful country love songs. ","spotify",TRUE
"116","37i9dQZF1DX1KHLbhJkg7B","Country Covers",24987,70,2021-05-03,FALSE,"Country Music's best artists sing their unique versions of hit songs by other artists.  Cover:  Trisha Yearwood and Garth Brooks.","spotify",FALSE
"117","37i9dQZF1DX6rVyqO2FaN8","Still Hot",162509,58,2021-05-03,FALSE,"Recent tracks from the Hot Country playlist that are still smokin'.  Cover: Brett Young","spotify",FALSE
"118","37i9dQZF1DX6RCydf9ytsj","Country's Greatest Hits:  The '80s",324358,163,2021-05-03,FALSE,"The decade when New Traditional artists like George Strait, Reba McEntire, and Randy Travis dominated the Country scene.","spotify",FALSE
"119","37i9dQZF1DXdgnLr18vPvu","Tailgate Party",804123,83,2021-05-03,FALSE,"The right music can make a good tailgate great. Cover:  Tim McGraw","spotify",TRUE
"120","37i9dQZF1DX7M1twJ8D6TS","Texas Music Rewind",39221,79,2021-05-03,FALSE,"The biggest Texas Music Hits over the last couple of years.","spotify",FALSE
"121","37i9dQZF1DWW7RgkOJG32Y","Breakout Country",200947,78,2021-05-03,FALSE,"Top trending new and recent tracks from the last few weeks.  Cover: Lainey Wilson","spotify",TRUE
"122","37i9dQZF1DWWH0izG4erma","Country Rocks",354277,74,2021-05-03,FALSE,"Country Music that ROCKS!!  
Cover:  Tim Montana","spotify",TRUE
"123","37i9dQZF1DWZBCPUIUs2iR","Country's Greatest Hits",121154,99,2021-05-03,FALSE,"A compilation of the all-time biggest hits in Country Music.","spotify",FALSE
"124","37i9dQZF1DWYiR2Uqcon0X","Country Coffeehouse",612753,82,2021-05-03,FALSE,"The Country Coffeehouse is open! Grab a cup and lean back to some low-key country.","spotify",TRUE
"125","37i9dQZF1DWUgBy0IJPlHq","Indigo",325431,101,2021-05-03,FALSE,"A new shade of Country. Cover: Lukas Nelson & Promise of the Real","spotify",TRUE
"126","37i9dQZF1DXbDjX0hus3Iu","Southern Rock 101",381309,106,2021-05-03,FALSE,"The early pioneers and current favorites in Southern Rock.  Cover:  The Godfather...Charlie Daniels.","spotify",TRUE
"127","37i9dQZF1DWU2LcZVHsTdv","Country by the Grace of God",222548,84,2021-05-03,FALSE,"The country way of testifying. 
Cover: Carrie Underwood","spotify",TRUE
"128","37i9dQZF1DX3Ee0ngF5ZVQ","Texas Music Now",345543,78,2021-05-03,FALSE,"From the Dance Halls and Honky Tonks across America to the World!  Cover: Jack Ingram, Miranda Lambert, Jon Randall","spotify",TRUE
"129","37i9dQZF1DX9hWdQ46pHPo","Forever Country",321251,78,2021-05-03,FALSE,"Country Music Association award-winning and nominated music from artists then, now, and forever.","spotify",FALSE
"130","37i9dQZF1DX49poIUZYXp7","Women of Country",295369,134,2021-05-03,FALSE,"The extraordinary women making great country music today.  Cover: Gabby Barrett","spotify",TRUE
"131","37i9dQZF1DWXepGEFFmQXJ","Fresh Country",251205,60,2021-05-03,FALSE,"The cream of today's Country crop. Cover: Brad Cox","spotify",FALSE
"132","37i9dQZF1DWYvU2z6HruAo","Hot Country Presents:  Best Country Songs of 2020",69751,62,2021-05-03,FALSE,"The Top Hot Country Tracks for 2020 in one playlist. Cover: Luke Combs","spotify",FALSE
"133","37i9dQZF1DWTQrwBpetTXv","#SpotifyTBT: Women of Country",39676,70,2021-05-03,FALSE,"The powerful women of country. Cover: Dolly Parton #SpotifyTBT","spotify",FALSE
"134","37i9dQZF1DX7CGYgLhqwu5","60s Country",236305,102,2021-05-03,FALSE,"Many would say that this decade is a ""Golden Era"" for country music.","spotify",FALSE
"135","37i9dQZF1DX05oRSrPGj3d","Heart Of Texas",17682,51,2021-05-03,FALSE,"Miranda Lambert, Jon Randall and Jack Ingram takeover in celebration of the new album, ""The Marfa Tapes,"" out May 7th.","spotify",FALSE
"136","37i9dQZF1DX4bf0P6HTTom","Country Rock Classics",80423,49,2021-05-03,FALSE,"Eagles, The Byrds and all your favorite country rock","spotify",FALSE
"137","37i9dQZF1DWSCp8Clax7tf","Legendary Women of Country",113324,90,2021-05-03,FALSE,"The Women who put Country Music on the map.","spotify",FALSE
"138","37i9dQZF1DX5mB2C8gBeUM","Wild Country",803303,105,2021-05-03,FALSE,"Country gone wild! You never know what you're gonna get.  Artist: Florida Georgia Line & Nelly","spotify",TRUE
"139","37i9dQZF1DWUPRADzDnbMq","Gulf & Western",58285,53,2021-05-03,FALSE,"Jimmy Buffett, Kenny Chesney and all your favorite summer tunes.","spotify",FALSE
"140","37i9dQZF1DWYBXdN7izJSV","Alt Country Classics",25628,75,2021-05-03,FALSE,"Classic cuts from the alternative country music scene. Cover: Uncle Tupelo","spotify",FALSE
"141","37i9dQZF1DWWnpcjfCqaW0","50s Country",169540,96,2021-05-03,FALSE,"The decade when country and rockabilly came together.","spotify",FALSE
"142","37i9dQZF1DWXi7h4mmmkzD","Country Nights",506636,93,2021-05-03,FALSE,"Nighttime is the right time for these party hits!","spotify",TRUE
"143","37i9dQZF1DX5OrO2Jxuvdn","Country Workout",33632,125,2021-05-03,FALSE,"Sweat it out with your favorite Country songs.","spotify",FALSE
"144","37i9dQZF1DXdDIhtzn7T2e","Greener Pastures",31419,52,2021-05-03,FALSE,"Let these country tunes light up your day","spotify",FALSE
"145","37i9dQZF1DWVn8zvR5ROMB","New Music Nashville",64687,124,2021-05-03,FALSE,"All of the newest country music releases in one playlist!","spotify",FALSE
"146","37i9dQZF1DXdmMcgFhLQ8u","Country Heartache",86784,75,2021-05-03,FALSE,"These country songs know exactly how you feel.","spotify",FALSE
"147","37i9dQZF1DWYP5PUsVbso9","70s Country",183899,96,2021-05-03,FALSE,"The decade of the Outlaws of Country Music - where traditional and crossover country collided.","spotify",FALSE
"148","37i9dQZF1DWYUfsq4hxHWP","Fresh Finds: Country",28550,88,2021-05-03,FALSE,"Fresh country music by independent artists every Wednesday. Cover: Nate Smith","spotify",FALSE
"149","37i9dQZF1DX2ViysbCzMHO","Nashville Stripped",104836,99,2021-05-03,FALSE,"Acoustic country songs from the heart of Nashville - stripped down to the basics.","spotify",FALSE
"150","37i9dQZF1DWSttCmn8GHUg","Country Music 101:  God Bless the USA",36988,72,2021-05-03,FALSE,"Celebrating what makes America great.","spotify",FALSE
"151","37i9dQZF1DXcYKwAtV4NDh","History of Country Music",34984,107,2021-05-03,FALSE,"A deep and concise look at the music that made Country Music what is is today.  Covers eras 
1930's - 1990.","spotify",FALSE
"152","37i9dQZF1DWVqJMsgEN0F4","Alt NOW",148550,50,2021-05-03,FALSE,"New music from Imagine Dragons along with the top Alternative songs right now","spotify",FALSE
"153","37i9dQZF1DWWJOmJ7nRx0C","Rock Hard",762044,100,2021-05-03,FALSE,"For those who like the newest songs loud. Very loud. Cover: Evanescence","spotify",TRUE
"154","37i9dQZF1DX82GYcclJ3Ug","The New Alt",995948,100,2021-05-03,FALSE,"No rules. No boundaries. Just cool music you need to hear. Cover: K.Flay","spotify",TRUE
"155","37i9dQZF1DWXRqgorJj26U","Rock Classics",8965988,145,2021-05-03,FALSE,"Rock legends and epic songs that continue to inspire generations.","spotify",TRUE
"156","37i9dQZF1DX3oM43CtKnRV","00s Rock Anthems",3629513,100,2021-05-03,FALSE,"These songs rocked the 00s. Cover: Linkin Park","spotify",TRUE
"157","37i9dQZF1DXb3m918yXHxA","Yacht Rock",893158,170,2021-05-03,FALSE,"It’s smooth sailing ahead. Ride the wave of these smooth classics.","spotify",TRUE
"158","37i9dQZF1DX1rVvRgjX59F","90s Rock Anthems",4249500,150,2021-05-03,FALSE,"These songs rocked the 90s. Cover: Nirvana","spotify",TRUE
"159","37i9dQZF1DX1spT6G94GFC","80s Rock Anthems",1885689,100,2021-05-03,FALSE,"These songs rocked the 80s. Cover: AC/DC.","spotify",TRUE
"160","37i9dQZF1DX9wa6XirBPv8","Emo Forever",1031355,80,2021-05-03,FALSE,"All the standard emo anthems. Cover: Gerard Way","spotify",TRUE
"161","37i9dQZF1DWWwzidNQX6jx","70s Rock Anthems",1247727,100,2021-05-03,FALSE,"These songs rocked the 70s. Cover: <a href=""spotify:artist:1dfeR4HaWDbWqFHLkxsg1d"">Queen</a>","spotify",TRUE
